Name;X-coordinate;Y-coordinate;Z-coordinate;X-velocity;Y-velocity;Z-velocity;mass
uranus;-8.94652;16.4421;0.176685;-1.26853;-0.747699;0.0136807;0.00172372
neptune;25.4574;15.5671;-0.905929;-0.602311;0.987918;-0.00646475;0.00203369
sun;0.0149109;-0.00549763;-0.000381223;0.0011967;0.002852;-4.54598e-05;39.4784
jupiter;-4.9741;2.10528;0.102467;-1.11824;-2.39697;0.0349824;0.0376937
saturn;-9.50918;0.153489;0.376106;-0.149018;-2.0343;0.0412556;0.0112863
uranus;-8.9592;16.4346;0.176821;-1.26799;-0.748689;0.0136701;0.00172372
neptune;25.4514;15.577;-0.905994;-0.602689;0.987686;-0.00645128;0.00203369
sun;0.0149228;-0.00546906;-0.000381674;0.00118363;0.00285707;-4.51672e-05;39.4784
jupiter;-4.98516;2.08125;0.102815;-1.10586;-2.40221;0.0347273;0.0376937
saturn;-9.51063;0.133145;0.376517;-0.144664;-2.03436;0.0410831;0.0112863
uranus;-8.97187;16.4271;0.176958;-1.26745;-0.749679;0.0136594;0.00172372
neptune;25.4454;15.5869;-0.906058;-0.603067;0.987455;-0.00643782;0.00203369
sun;0.0149345;-0.00544044;-0.000382123;0.00117054;0.00286209;-4.48739e-05;39.4784
jupiter;-4.9961;2.05718;0.103159;-1.09346;-2.40739;0.0344716;0.0376937
saturn;-9.51203;0.112801;0.376926;-0.14031;-2.03442;0.0409106;0.0112863
uranus;-8.98454;16.4196;0.177094;-1.26691;-0.750668;0.0136487;0.00172372
neptune;25.4393;15.5967;-0.906122;-0.603446;0.987223;-0.00642435;0.00203369
sun;0.0149461;-0.00541176;-0.000382569;0.00115744;0.00286704;-4.45799e-05;39.4784
jupiter;-5.00691;2.03306;0.103501;-1.08104;-2.41251;0.0342151;0.0376937
saturn;-9.51339;0.092456;0.377334;-0.135957;-2.03447;0.0407379;0.0112863
uranus;-8.99721;16.4121;0.177231;-1.26637;-0.751657;0.0136381;0.00172372
neptune;25.4333;15.6066;-0.906186;-0.603824;0.986991;-0.00641089;0.00203369
sun;0.0149575;-0.00538305;-0.000383012;0.00114431;0.00287193;-4.42852e-05;39.4784
jupiter;-5.01759;2.00888;0.103841;-1.0686;-2.41756;0.0339579;0.0376937
saturn;-9.51471;0.072111;0.377739;-0.131606;-2.03451;0.0405651;0.0112863
uranus;-9.00986;16.4046;0.177367;-1.26583;-0.752645;0.0136274;0.00172372
neptune;25.4272;15.6165;-0.90625;-0.604202;0.986759;-0.00639742;0.00203369
sun;0.0149688;-0.00535428;-0.000383452;0.00113116;0.00287676;-4.39897e-05;39.4784
jupiter;-5.02815;1.98465;0.104178;-1.05614;-2.42255;0.0337;0.0376937
saturn;-9.51598;0.0517656;0.378143;-0.127255;-2.03453;0.0403921;0.0112863
uranus;-9.02252;16.3971;0.177503;-1.26529;-0.753634;0.0136167;0.00172372
neptune;25.4212;15.6264;-0.906314;-0.604579;0.986527;-0.00638395;0.00203369
sun;0.01498;-0.00532546;-0.000383889;0.001118;0.00288153;-4.36935e-05;39.4784
jupiter;-5.03859;1.96038;0.104512;-1.04365;-2.42748;0.0334413;0.0376937
saturn;-9.51721;0.0314201;0.378545;-0.122905;-2.03455;0.0402191;0.0112863
uranus;-9.03516;16.3895;0.177639;-1.26474;-0.754621;0.013606;0.00172372
neptune;25.4152;15.6362;-0.906378;-0.604957;0.986294;-0.00637048;0.00203369
sun;0.014991;-0.0052966;-0.000384323;0.00110481;0.00288624;-4.33966e-05;39.4784
jupiter;-5.0489;1.93606;0.104844;-1.03115;-2.43235;0.033182;0.0376937
saturn;-9.51839;0.0110745;0.378946;-0.118556;-2.03456;0.0400459;0.0112863
uranus;-9.04781;16.382;0.177775;-1.2642;-0.755609;0.0135953;0.00172372
neptune;25.4091;15.6461;-0.906441;-0.605335;0.986062;-0.00635702;0.00203369
sun;0.0150019;-0.00526769;-0.000384753;0.00109161;0.00289088;-4.3099e-05;39.4784
jupiter;-5.05909;1.91168;0.105173;-1.01863;-2.43715;0.032922;0.0376937
saturn;-9.51953;-0.0092712;0.379345;-0.114208;-2.03457;0.0398726;0.0112863
uranus;-9.06044;16.3744;0.177911;-1.26365;-0.756596;0.0135846;0.00172372
neptune;25.403;15.6559;-0.906505;-0.605712;0.985829;-0.00634354;0.00203369
sun;0.0150127;-0.00523874;-0.000385181;0.00107839;0.00289546;-4.28007e-05;39.4784
jupiter;-5.06915;1.88727;0.1055;-1.00609;-2.44189;0.0326613;0.0376937
saturn;-9.52063;-0.0296168;0.379742;-0.109861;-2.03456;0.0396991;0.0112863
uranus;-9.07307;16.3668;0.178047;-1.26311;-0.757583;0.0135739;0.00172372
neptune;25.397;15.6658;-0.906568;-0.60609;0.985596;-0.00633007;0.00203369
sun;0.0150234;-0.00520974;-0.000385607;0.00106515;0.00289997;-4.25017e-05;39.4784
jupiter;-5.07908;1.8628;0.105824;-0.99353;-2.44657;0.0323999;0.0376937
saturn;-9.52169;-0.0499622;0.380137;-0.105515;-2.03454;0.0395255;0.0112863
